Country,Year,Global_Production,ev_production_amount
Germany,2021,3308692.0,0
Germany,2022,3677820.0,0
Germany,2023,4109371.0,995000
Germany,2024,4069222.0,1350000
Germany,2025,4151800.0,1670000
Hungary,2018,430988.0,0
Hungary,2019,498158.0,0
Hungary,2021,394302.0,0
Hungary,2022,441729.0,0
Hungary,2023,507225.0,0
Hungary,2024,437045.0,0
India,2018,5174645.0,0
India,2019,4516017.0,0
India,2021,4399112.0,0
India,2022,5456857.0,0
India,2023,5851507.0,0
India,2024,6014691.0,75000
Indonesia,2018,1343714.0,0
Indonesia,2019,1286848.0,0
Indonesia,2021,1121967.0,0
Indonesia,2022,1470146.0,0
Indonesia,2023,1395717.0,0
Indonesia,2024,1196664.0,0
Iran,2018,1550150.0,0
Iran,2019,1461244.0,0
Iran,2021,894298.0,0
Iran,2022,1064215.0,0
Iran,2023,1188471.0,0
Iran,2024,1077839.0,0
Italy,2018,1060068.0,0
Italy,2019,915305.0,0
Italy,2021,795856.0,0
Italy,2022,796324.0,0
Italy,2023,880085.0,0
Italy,2024,591067.0,0
Japan,2018,9728528.0,0
Japan,2019,9684298.0,0
Japan,2021,7846955.0,0
Japan,2022,7835519.0,0
Japan,2023,8997440.0,0
Japan,2024,8234681.0,0
Kazakhstan,2018,31545.0,0
Kazakhstan,2019,49400.0,0
Kazakhstan,2021,92417.0,0
Kazakhstan,2022,112540.0,0
Kazakhstan,2023,146989.0,0
Kazakhstan,2024,144624.0,0
Malaysia,2018,564800.0,0
Malaysia,2019,571632.0,0
Malaysia,2021,481651.0,0
Malaysia,2022,702225.0,0
Malaysia,2023,774600.0,0
Malaysia,2024,790347.0,0
Mexico,2018,4100770.0,0
Mexico,2019,3986794.0,0
Mexico,2021,3145653.0,0
Mexico,2022,3509072.0,0
Mexico,2023,4002047.0,0
Mexico,2024,4202642.0,220000
Morocco,2018,402085.0,0
Morocco,2019,394652.0,0
Morocco,2021,403007.0,0
Morocco,2022,464864.0,0
Morocco,2023,535825.0,0
Morocco,2024,559645.0,0
Myanmar,2019,15496.0,0
Myanmar,2021,1957.0,0
Myanmar,2023,1475.0,0
Myanmar,2024,2711.0,0
Netherlands,2018,214000.0,0
Netherlands,2019,176113.0,0
Netherlands,2021,107021.0,0
Netherlands,2022,101670.0,0
Netherlands,2023,123379.0,0
Netherlands,2024,7403.0,0
North Korea,2018,3000.0,0
North Korea,2019,2000.0,0
North Korea,2021,2000.0,0
North Korea,2022,2000.0,0
Pakistan,2018,269700.0,0
Pakistan,2019,186751.0,0
Pakistan,2021,238702.0,0
Pakistan,2022,235454.0,0
Pakistan,2023,79513.0,0
Pakistan,2024,128449.0,0
Philippines,2018,79763.0,0
Philippines,2019,95094.0,0
Philippines,2021,85874.0,0
Philippines,2022,92223.0,0
Philippines,2023,110350.0,0
Philippines,2024,126571.0,0
Poland,2018,809646.0,0
Poland,2019,498158.0,0
Poland,2021,439421.0,0
Poland,2022,483840.0,0
Poland,2023,612882.0,0
Poland,2024,555346.0,0
Portugal,2018,294366.0,0
