Country,Year,total_vehicles_sold,EV_market_share
United Kingdom,2021,1647181.0,18.6
United Kingdom,2022,1614063.0,22.9
United Kingdom,2023,1903054.0,23.9
United Kingdom,2024,1952778.0,28.2
United Kingdom,2025,2020520.0,33.9
United States,2018,17270000.0,2.1
United States,2019,17050000.0,1.9
United States,2020,14580000.0,2.2
United States,2021,15080000.0,4.0
United States,2022,13900000.0,6.8
United States,2023,15610000.0,9.4
United States,2024,15790000.0,9.9
United States,2025,16300000.0,13.5
Uruguay,2018,43809.0,0.0
Uruguay,2019,40594.0,0.4
Uruguay,2020,34540.0,0.3
Uruguay,2021,49265.0,1.1
Uruguay,2022,52829.0,1.9
Uruguay,2023,58367.0,3.1
Uruguay,2024,63311.0,8.9
Uruguay,2025,71442.0,20.2
Uzbekistan,2018,139902.0,0.0
Uzbekistan,2019,190164.0,0.0002
Uzbekistan,2020,173756.0,0.00075
Uzbekistan,2021,208149.0,0.0039
Uzbekistan,2022,286000.0,0.0078
Uzbekistan,2023,456300.0,0.039
Uzbekistan,2024,402391.0,0.087
Uzbekistan,2025,427097.0,0.18
Vietnam,2018,288683.0,0.0
Vietnam,2019,399890.0,0.00047
Vietnam,2020,401134.0,0.1
Vietnam,2021,410390.0,0.3
Vietnam,2022,509141.0,1.0
Vietnam,2023,404294.0,5.6
Vietnam,2024,500000.0,28.0
Vietnam,2025,604064.0,42.0
